"Equipment","Description","Status"
"26-0407","IR 1170 Air Compressor","inactive"
"26-0415","Ingersol Rand 1170/350 Comp","inactive"
"26-0421","NAPA Air Compressor","inactive"
"26-0422","INGERSOL RAND","inactive"
"26-0551","07 Cat D6NXL Dozer","inactive"
"26-0552","07 Cat D6NXL Dozer","inactive"
"26-1195","2025 Ford F-250 XL","inactive"
"26-1196","2025 Ford F-250 XL","inactive"
"26-1197","2025 Ford F-250 XL","inactive"
"26-1198","2025 Ford F-250 XL","inactive"
"26-1199","2025 Ford F-250 XL","inactive"
"26-1200","2023 Chevrolet Silverado 5500 Crew Cab","inactive"
"26-1201","2025 Ford F-250 XL","inactive"
"26-1202","2025 Ford F-250 XL","inactive"
"26-1203","2025 Ford F-250 XL","inactive"
"26-1204","2025 Ford F-250 XL","inactive"
"26-1205","2025 Ford F-250 XL","inactive"
"26-1206","2025 Ford F-250 XL","inactive"
"26-1207","2025 Ford F-250 XL","inactive"
"26-1208","2025 Ford F-250 XL","inactive"
"26-0567","D6D from GTM East","inactive"
"26-0568","D6D","inactive"
"26-0577","Cat D6D Dozer 04X06640","inactive"
"26-0580","CAT D6D Dozer","inactive"
"26-0581","CAT D6NXL Dozer","inactive"
"26-0584","CAT D6NXL Dozer","inactive"
"26-0585","CAT D6NXL Dozer","inactive"
"26-0586","CAT D6NXL Dozer","inactive"
"26-0587","CAT D6NXL","inactive"
"26-0588","CAT D6NXL","inactive"
"26-0589","Volvo EC160DL Excavator","inactive"
"26-0596","McCormick XTX-185 Tractor","inactive"
"26-0599","CAT D6NXL W Dozer","inactive"
"26-0600","EZ CUT Section Mill Tool","inactive"
"26-0648","Cuttings Tub Rig 26-0248","inactive"
"26-0121","26-0121-2006 Aztec Lowboy w/Rolling Tailborad","inactive"
"26-1563","CATERPILLAR D6N XL CRAWLER","inactive"
